# ::id 2951000
# ::tok Commander Farragut , to my thinking , had made a wise move in hiring on this man .
# ::alignments 0-1.1.3.1.1.1 1-1.1.3.3.3 3-1.1.4.2 4-1.1.5 5-1.1.4.1 8-1.1.3.1.3 10-1.1.3.1.5 11-1.1.3.1.4.2 12-1.1.3.2 13-1.1.3.3.1 14-1.1.3.3.1 15-1.1.3.3.2.1 16-1.1.3.3.2.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :H (v6 / label
                         :A (v11 / label
                                 :E (v18 / label~e.0)
                                 :C (v17 / label~e.1))
                         :D (v12 / label~e.8)
                         :P (v13 / label
                                 :C (v19 / label~e.11))
                         :D (v14 / label~e.10))
                  :L (v7 / label~e.12)
                  :H (v8 / label
                         :P (v15 / label~e.13,14)
                         :A (v16 / label
                                 :E (v20 / label~e.15)
                                 :C (v21 / label~e.16))
                         :A v17))
           :P (v4 / label
                  :C (v9 / label~e.5)
                  :R (v10 / label~e.3))
           :A (v5 / label~e.4)))
