# ::id 2961000
# ::tok " That 's just where you 're mistaken , professor , " Ned replied . " The common man may still believe in fabulous comets crossing outer space , or in prehistoric monsters living at the earth 's core , but astronomers and geologists do n't swallow such fairy tales . It 's the same with whalers . I 've chased plenty of cetaceans , I 've harpooned a good number , I 've killed several . But no matter how powerful and well armed they were , neither their tails or their tusks could puncture the sheet - iron plates of a steamer . "
# ::alignments 1-1.1.5.1.1 3-1.1.5.1.3 4-1.1.5.1.4 5-1.1.5.1.5 7-1.1.5.1.7 9-1.1.5.1.8 12-1.1.6 13-1.1.7 17-1.1.5.2.1.2 18-1.1.5.2.1.3 19-1.1.5.2.2 20-1.1.5.2.3 21-1.1.5.2.4 22-1.1.5.2.5.1.1 23-1.1.5.2.5.1.2 24-1.1.5.2.5.1.3 25-1.1.5.2.5.1.4.2 26-1.1.5.2.5.1.4.3.1 27-1.1.5.2.5.1.4.3.2 29-1.1.5.2.5.2 30-1.1.5.2.5.3.1 31-1.1.5.2.5.3.2 32-1.1.5.2.5.3.3 33-1.1.5.2.5.3.4.2 34-1.1.5.2.5.3.4.3.1 36-1.1.5.2.5.3.4.3.2.2 37-1.1.5.2.5.3.4.3.2.3 38-1.1.5.2.5.3.4.3.3 40-1.1.5.3 41-1.1.5.4.1.3.1 42-1.1.5.4.1.1 43-1.1.5.4.1.2.1 45-1.1.5.4.3 46-1.1.5.4.4 47-1.1.5.4.5.1 48-1.1.5.4.5.2 49-1.1.5.4.5.3 54-1.1.5.5.3.2 55-1.1.5.5.4.1 56-1.1.5.5.4.2 58-1.1.5.7.1 60-1.1.5.7.3 61-1.1.5.7.4.1 62-1.1.5.7.4.2 63-1.1.5.7.4.3 65-1.1.5.14.2 67-1.1.5.14.4 69-1.1.5.14.5.1.2 70-1.1.5.14.5.1.3 72-1.1.5.15.1 74-1.1.5.15.3 75-1.1.5.15.4.1 77-1.1.5.16 78-1.1.5.17.1 79-1.1.5.17.1 80-1.1.5.17.2 81-1.1.5.17.3.1 82-1.1.5.17.3.2 83-1.1.5.17.3.3.1 84-1.1.5.17.3.3.2 85-1.1.5.17.4 88-1.1.5.18.1.1 89-1.1.5.18.1.2.1 90-1.1.5.18.1.2.2 91-1.1.5.18.1.3 92-1.1.5.18.1.4.1 93-1.1.5.18.1.4.2 94-1.1.5.18.2 95-1.1.5.18.3 97-1.1.5.18.4.2.2 99-1.1.5.18.4.2.3 100-1.1.5.18.4.3 101-1.1.5.18.4.4.3 103-1.1.5.18.4.4.5
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :H (v6 / label
                         :A (v17 / label~e.1)
                         :D (v18 / label~e.3)
                         :A (v19 / label~e.4)
                         :A (v20 / label~e.5)
                         :P (v21 / label~e.7)
                         :G (v22 / label~e.9))
                  :H (v7 / label
                         :A (v23 / label
                                 :E (v51 / label~e.17)
                                 :C (v52 / label~e.18))
                         :D (v24 / label~e.19)
                         :T (v25 / label~e.20)
                         :P (v26 / label~e.21)
                         :A (v27 / label
                                 :C (v53 / label
                                         :R (v80 / label~e.22)
                                         :E (v81 / label~e.23)
                                         :C (v82 / label~e.24)
                                         :E (v83 / label
                                                 :A v82
                                                 :P (v102 / label~e.25)
                                                 :A (v103 / label
                                                          :E (v106 / label~e.26)
                                                          :C (v107 / label~e.27))))
                                 :N (v54 / label~e.29)
                                 :C (v55 / label
                                         :R (v84 / label~e.30)
                                         :E (v85 / label~e.31)
                                         :C (v86 / label~e.32)
                                         :E (v87 / label
                                                 :A v86
                                                 :P (v104 / label~e.33)
                                                 :A (v105 / label
                                                          :R (v108 / label~e.34)
                                                          :E (v109 / label
                                                                   :C (v111 / label~e.36)
                                                                   :R (v112 / label~e.37))
                                                          :C (v110 / label~e.38))))))
                  :L (v8 / label~e.40)
                  :H (v9 / label
                         :A (v28 / label
                                 :N (v56 / label~e.42)
                                 :C (v57 / label
                                         :A (v88 / label~e.43))
                                 :C (v58 / label
                                         :A (v89 / label~e.41)))
                         :D (v29 / label~e.45)
                         :P (v30 / label~e.46)
                         :A (v31 / label
                                 :E (v59 / label~e.47)
                                 :E (v60 / label~e.48)
                                 :C (v61 / label~e.49)))
                  :H (v10 / label
                          :S (v32 / label
                                  :C (v62 / label~e.54))
                          :A (v33 / label
                                  :R (v63 / label~e.55)
                                  :A (v64 / label~e.56)))
                  :H (v11 / label
                          :A (v34 / label~e.58)
                          :P (v35 / label~e.60)
                          :A (v36 / label
                                  :Q (v65 / label~e.61)
                                  :R (v66 / label~e.62)
                                  :C (v67 / label~e.63)))
                  :H (v12 / label
                          :A (v37 / label~e.65)
                          :P (v38 / label~e.67)
                          :A (v39 / label
                                  :Q (v68 / label
                                          :E (v90 / label~e.69)
                                          :C (v91 / label~e.70))
                                  :C v67))
                  :H (v13 / label
                          :A (v40 / label~e.72)
                          :P (v41 / label~e.74)
                          :A (v42 / label
                                  :Q (v69 / label~e.75)
                                  :C v67))
                  :L (v14 / label~e.77)
                  :H (v15 / label
                          :D (v43 / label~e.78,79)
                          :D (v44 / label~e.80)
                          :S (v45 / label
                                  :C (v70 / label~e.81)
                                  :N (v71 / label~e.82)
                                  :C (v72 / label
                                          :E (v92 / label~e.83)
                                          :C (v93 / label~e.84)))
                          :A (v46 / label~e.85))
                  :H (v16 / label
                          :A (v47 / label
                                  :N (v73 / label~e.88)
                                  :C (v74 / label
                                          :E (v94 / label~e.89)
                                          :C (v95 / label~e.90))
                                  :N (v75 / label~e.91)
                                  :C (v76 / label
                                          :E (v96 / label~e.92)
                                          :C (v97 / label~e.93)))
                          :D (v48 / label~e.94)
                          :P (v49 / label~e.95)
                          :A (v50 / label
                                  :E (v77 / label
                                          :E (v98 / label~e.97)
                                          :C (v99 / label~e.99))
                                  :C (v78 / label~e.100)
                                  :E (v79 / label
                                          :R (v100 / label~e.101)
                                          :C (v101 / label~e.103)))))
           :A (v4 / label~e.12)
           :P (v5 / label~e.13)))
