# ::id 310009
# ::tok With its untold depths , could n’t the sea keep alive such huge specimens of life from another age , this sea that never changes while the land masses undergo almost continuous alteration ?
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.1.3.3 3-1.1.1.4 5-1.1.2 6-1.1.3 7-1.1.4.1 8-1.1.4.2 9-1.1.5 10-1.1.5 11-1.1.6.1 12-1.1.6.2 13-1.1.6.3 14-1.1.6.4.1 15-1.1.6.4.2 16-1.1.6.5.1 17-1.1.6.5.2 18-1.1.6.5.3 20-1.1.4.3.1 21-1.1.4.3.2 22-1.1.4.3.3.1.2 23-1.1.4.3.3.1.3 24-1.1.4.3.3.1.4 25-1.1.4.3.3.2 26-1.1.4.3.3.3.1.1 27-1.1.4.3.3.3.1.2 28-1.1.4.3.3.3.1.3 29-1.1.4.3.3.3.2 30-1.1.4.3.3.3.3 31-1.1.4.3.3.3.4.1 32-1.1.4.3.3.3.4.2
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :R (v9 / label~e.0)
                  :E (v10 / label~e.1)
                  :E (v11 / label
                          :A (v12 / label~e.3)
                          :A (v21 / label)
                          :P (v22 / label~e.2))
                  :C v12)
           :D (v4 / label~e.5)
           :D (v5 / label~e.6)
           :A (v6 / label
                  :E (v13 / label~e.7)
                  :C (v14 / label~e.8)
                  :E (v15 / label
                          :E (v23 / label~e.20)
                          :C (v24 / label~e.21)
                          :E (v25 / label
                                  :H (v31 / label
                                          :A v24
                                          :R (v34 / label~e.22)
                                          :D (v35 / label~e.23)
                                          :P (v36 / label~e.24))
                                  :L (v32 / label~e.25)
                                  :H (v33 / label
                                          :A (v37 / label
                                                  :E (v41 / label~e.26)
                                                  :E (v42 / label~e.27)
                                                  :C (v43 / label~e.28))
                                          :P (v38 / label~e.29)
                                          :D (v39 / label~e.30)
                                          :A (v40 / label
                                                  :E (v44 / label~e.31)
                                                  :C (v45 / label~e.32))))))
           :P (v7 / label~e.9,10)
           :A (v8 / label
                  :E (v16 / label~e.11)
                  :E (v17 / label~e.12)
                  :C (v18 / label~e.13)
                  :E (v19 / label
                          :R (v26 / label~e.14)
                          :C (v27 / label~e.15))
                  :E (v20 / label
                          :R (v28 / label~e.16)
                          :E (v29 / label~e.17)
                          :C (v30 / label~e.18)))))
