# ::id 310004
# ::tok Now then , the sea is precisely their best medium , the only setting suitable for the breeding and growing of such giants - next to which such land animals as elephants or rhinoceroses are mere dwarves .
# ::alignments 0-1.1 1-1.1 3-1.2.1.1 4-1.3.3 5-1.2.2 6-1.2.3 7-1.2.4.1 8-1.2.4.2 9-1.2.4.3 11-1.3.1.1 12-1.3.1.2 13-1.3.1.3 14-1.3.1.4.2 15-1.3.1.4.3.1 16-1.3.1.4.3.2.1.1 17-1.3.1.4.3.2.1.2 18-1.3.1.4.3.2.2 19-1.3.1.4.3.2.3.1 20-1.3.1.4.3.3.1 21-1.3.1.4.3.3.2 22-1.3.1.4.3.3.3 24-1.3.1.4.3.3.4.1 25-1.3.1.4.3.3.4.1 26-1.3.1.4.3.3.4.1 27-1.3.1.4.3.3.4.2.1 28-1.3.1.4.3.3.4.2.2 29-1.3.1.4.3.3.4.2.3 30-1.3.1.4.3.3.4.2.1 31-1.3.1.4.3.3.4.2.4.1 32-1.3.1.4.3.3.4.2.4.2 33-1.3.1.4.3.3.4.2.4.3 34-1.3.1.4.3.3.4.3 35-1.3.1.4.3.3.4.4.1 36-1.3.1.4.3.3.4.4.2
# ::format ucca
(v1 / label
    :L (v2 / label~e.0,1)
    :H (v3 / label
           :A (v5 / label
                  :E (v11 / label~e.3)
                  :C (v10 / label~e.4))
           :S (v6 / label~e.5)
           :D (v7 / label~e.6)
           :A (v8 / label
                  :E (v12 / label~e.7)
                  :E (v13 / label~e.8)
                  :C (v14 / label~e.9)))
    :H (v4 / label
           :A (v9 / label
                  :E (v15 / label~e.11)
                  :E (v16 / label~e.12)
                  :C (v17 / label~e.13)
                  :E (v18 / label
                          :A v17
                          :S (v19 / label~e.14)
                          :A (v20 / label
                                  :R (v21 / label~e.15)
                                  :P (v22 / label
                                          :C (v24 / label
                                                  :E (v31 / label~e.16)
                                                  :C (v32 / label~e.17))
                                          :N (v25 / label~e.18)
                                          :C (v26 / label
                                                  :C (v33 / label~e.19)
                                                  :E v31))
                                  :A (v23 / label
                                          :R (v27 / label~e.20)
                                          :E (v28 / label~e.21)
                                          :C (v29 / label~e.22)
                                          :E (v30 / label
                                                  :R (v34 / label~e.24,25,26)
                                                  :A (v35 / label
                                                          :E (v38 / label~e.27,30)
                                                          :E (v39 / label~e.28)
                                                          :C (v40 / label~e.29)
                                                          :E (v41 / label
                                                                  :C (v44 / label~e.31)
                                                                  :N (v45 / label~e.32)
                                                                  :C (v46 / label~e.33)))
                                                  :S (v36 / label~e.34)
                                                  :A (v37 / label
                                                          :E (v42 / label~e.35)
                                                          :C (v43 / label~e.36)))))))
           :S v6
           :A v10))
