# ::id 994000
# ::tok Observing Conseil, I discovered that, just barely, the gallant lad had fallen under the general influence. At least so I thought. Perhaps his nerves were twitching with curiosity for the first time in history.
# ::alignments 0-1.1.2 1-1.1.3 2-1.1.1 3-1.2.2 5-1.2.4.1.1 6-1.2.4.1.2 7-1.2.4.2.1 8-1.2.4.2.2 9-1.2.4.2.3 11-1.2.4.3.2 12-1.2.4.4.1 13-1.2.4.4.2 14-1.2.4.4.3 15-1.2.4.4.4 16-1.3.1 17-1.3.2 18-1.4.1 19-1.4.2 20-1.4.3 21-1.5.3 22-1.5.4.1 23-1.5.4.2 25-1.5.5.2 26-1.5.1.1 27-1.5.1.2 28-1.5.2.1 29-1.5.2.2 30-1.5.2.3 31-1.5.2.4 32-1.5.2.5.1 33-1.5.2.5.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v7 / label~e.2)
           :P (v8 / label~e.0)
           :A (v9 / label~e.1))
    :H (v3 / label
           :A v7
           :P (v10 / label~e.3)
           :A (v11 / label
                   :D (v22 / label
                           :E (v36 / label~e.5)
                           :C (v37 / label~e.6))
                   :A (v23 / label
                           :E (v38 / label~e.7)
                           :E (v39 / label~e.8)
                           :C (v40 / label~e.9))
                   :P (v24 / label
                           :C (v41 / label~e.11))
                   :A (v25 / label
                           :R (v42 / label~e.12)
                           :E (v43 / label~e.13)
                           :E (v44 / label~e.14)
                           :C (v45 / label~e.15))))
    :L (v4 / label
           :R (v12 / label~e.16)
           :C (v13 / label~e.17))
    :H (v5 / label
           :A (v14 / label~e.18)
           :A (v15 / label~e.19)
           :P (v16 / label~e.20))
    :H (v6 / label
           :A (v17 / label
                   :R (v26 / label~e.26)
                   :C (v27 / label~e.27))
           :D (v18 / label
                   :R (v28 / label~e.28)
                   :E (v29 / label~e.29)
                   :E (v30 / label~e.30)
                   :C (v31 / label~e.31)
                   :E (v32 / label
                           :R (v46 / label~e.32)
                           :C (v47 / label~e.33)))
           :D (v19 / label~e.21)
           :A (v20 / label
                   :E (v33 / label~e.22)
                   :C (v34 / label~e.23))
           :P (v21 / label
                   :C (v35 / label~e.25))))
