# ::id 2965000
# ::tok " Note well , my fine Canadian , " I went on , " if such an animal exists , if it lives deep in the ocean , if it frequents the liquid strata located miles beneath the surface of the water , it needs to have a constitution so solid , it defies all comparison . "
# ::alignments 1-1.1.1.1.1 2-1.1.1.1.2 4-1.1.1.1.3 5-1.1.1.1.3 6-1.1.1.1.3 9-1.1.2 10-1.1.7 11-1.1.7 14-1.1.1.2 15-1.1.1.3.1.1 17-1.1.1.3.1.3 18-1.1.1.3.2 20-1.1.1.4 21-1.1.1.5.1 22-1.1.1.5.2 23-1.1.1.5.3.1 24-1.1.1.5.3.2 26-1.1.1.5.3.4 28-1.1.1.6 29-1.1.1.7.1 30-1.1.1.7.2 32-1.1.1.7.3.2 33-1.1.1.7.3.3 34-1.1.1.7.3.4.2 35-1.1.1.7.3.4.3.1 36-1.1.1.7.3.4.3.2 38-1.1.1.7.3.4.3.4 39-1.1.1.7.3.4.3.5.1 41-1.1.1.7.3.4.3.5.3 43-1.1.1.8.1 44-1.1.1.8.2 48-1.1.1.8.4.3 49-1.1.1.8.5.1 50-1.1.1.8.5.2 52-1.1.1.9.1 53-1.1.1.9.2 54-1.1.1.9.3.1 55-1.1.1.9.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :H (v6 / label
                         :P (v15 / label~e.1)
                         :D (v16 / label~e.2)
                         :G (v17 / label~e.4,5,6))
                  :L (v7 / label~e.14)
                  :H (v8 / label
                         :A (v18 / label
                                 :E (v33 / label~e.15)
                                 :C (v34 / label~e.17))
                         :S (v19 / label~e.18))
                  :L (v9 / label~e.20)
                  :H (v10 / label
                          :A (v20 / label~e.21)
                          :P (v21 / label~e.22)
                          :A (v22 / label
                                  :R (v35 / label~e.23)
                                  :R (v36 / label~e.24)
                                  :C (v37 / label~e.26)))
                  :L (v11 / label~e.28)
                  :H (v12 / label
                          :A (v23 / label~e.29)
                          :P (v24 / label~e.30)
                          :A (v25 / label
                                  :E (v38 / label~e.32)
                                  :C (v39 / label~e.33)
                                  :E (v40 / label
                                          :A v39
                                          :S (v46 / label~e.34)
                                          :A (v47 / label
                                                  :Q (v48 / label~e.35)
                                                  :R (v49 / label~e.36)
                                                  :C (v50 / label~e.38)
                                                  :E (v51 / label
                                                          :R (v52 / label~e.39)
                                                          :C (v53 / label~e.41))))))
                  :H (v13 / label
                          :A (v26 / label~e.43)
                          :D (v27 / label~e.44)
                          :S (v28 / label
                                  :C (v41 / label~e.48))
                          :D (v29 / label
                                  :E (v42 / label~e.49)
                                  :C (v43 / label~e.50)))
                  :H (v14 / label
                          :A (v30 / label~e.52)
                          :P (v31 / label~e.53)
                          :A (v32 / label
                                  :Q (v44 / label~e.54)
                                  :C (v45 / label~e.55))))
           :A (v4 / label~e.9)
           :P (v5 / label~e.10,11)))
