# ::id 296004
# ::tok As long as I could deny the reality of the business , I confined myself to a flat “ no comment . ” But soon , pinned to the wall , I had to explain myself straight out .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3 3-1.2.1 4-1.2.2.1 5-1.2.2.2 6-1.2.3.1 7-1.2.3.2 8-1.2.3.3.1 9-1.2.3.3.2 10-1.2.3.3.3 12-1.3.1 13-1.3.2 14-1.3.3 15-1.3.4.1 16-1.3.4.2 17-1.3.4.3 19-1.3.4.4 20-1.3.4.5 23-1.4 24-1.5.1 26-1.6.2 27-1.6.2 28-1.6.2 29-1.6.2 31-1.5.2 32-1.5.3.1 33-1.5.3.1 34-1.5.3.2 35-1.5.3.3 36-1.5.4 37-1.5.4
# ::format ucca
(v1 / label
    :L (v2 / label
           :R (v8 / label~e.0)
           :C (v9 / label~e.1)
           :R (v10 / label~e.2))
    :H (v3 / label
           :A (v11 / label~e.3)
           :P (v12 / label
                   :E (v24 / label~e.4)
                   :C (v25 / label~e.5))
           :A (v13 / label
                   :E (v26 / label~e.6)
                   :C (v27 / label~e.7)
                   :E (v28 / label
                           :R (v37 / label~e.8)
                           :E (v38 / label~e.9)
                           :C (v39 / label~e.10))))
    :H (v4 / label
           :A (v14 / label~e.12)
           :P (v15 / label~e.13)
           :A (v16 / label~e.14)
           :A (v17 / label
                   :R (v29 / label~e.15)
                   :E (v30 / label~e.16)
                   :E (v31 / label~e.17)
                   :E (v32 / label~e.19)
                   :C (v33 / label~e.20)))
    :L (v5 / label~e.23)
    :H (v6 / label
           :D (v18 / label~e.24)
           :A (v19 / label~e.31)
           :P (v20 / label
                   :E (v34 / label~e.32,33)
                   :C (v35 / label~e.34)
                   :E (v36 / label~e.35))
           :D (v21 / label~e.36,37))
    :H (v7 / label
           :A (v22 / label)
           :P (v23 / label~e.26,27,28,29)
           :A v19))
