# ::id 2997001
# ::tok The shores of Japan were less than 200 miles to our leeward .
# ::alignments 1-1.1.1.2 2-1.1.1.3.1 3-1.1.1.3.2 4-1.1.2 5-1.1.3.1.1 6-1.1.3.1.1 7-1.1.3.1.2 8-1.1.3.2 9-1.1.3.3.1 10-1.1.3.3.2 11-1.1.3.3.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :C (v6 / label~e.1)
                  :E (v7 / label
                         :R (v11 / label~e.2)
                         :C (v12 / label~e.3)))
           :S (v4 / label~e.4)
           :A (v5 / label
                  :Q (v8 / label
                         :R (v13 / label~e.5,6)
                         :C (v14 / label~e.7))
                  :C (v9 / label~e.8)
                  :E (v10 / label
                          :R (v15 / label~e.9)
                          :E (v16 / label~e.10)
                          :C (v17 / label~e.11)))))
