# ::id 291001
# ::tok That a private individual had such a mechanism at his disposal was less than probable .
# ::alignments 0-1.1.1.1 1-1.1.1.2.1 2-1.1.1.2.2 3-1.1.1.2.3 4-1.1.1.3 5-1.1.1.4.1 6-1.1.1.4.2 7-1.1.1.4.3 8-1.1.1.5.1 9-1.1.1.5.2 10-1.1.1.5.3 12-1.1.2.3.2 13-1.1.2.3.1 14-1.1.2.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :R (v5 / label~e.0)
                  :A (v6 / label
                         :E (v12 / label~e.1)
                         :E (v13 / label~e.2)
                         :C (v14 / label~e.3))
                  :S (v7 / label~e.4)
                  :A (v8 / label
                         :E (v15 / label~e.5)
                         :E (v16 / label~e.6)
                         :C (v17 / label~e.7))
                  :A (v9 / label
                         :R (v18 / label~e.8)
                         :E (v19 / label~e.9)
                         :C (v20 / label~e.10)))
           :S (v4 / label
                  :E (v10 / label
                          :R (v21 / label~e.13)
                          :C (v22 / label~e.12))
                  :C (v11 / label~e.14))))
