# ::id 2981007
# ::tok I stared ; I stared until I nearly went blind from a worn - out retina , while Conseil , as stoic as ever , kept repeating to me in a calm tone : " If master 's eyes would kindly stop bulging , master will see farther ! "
# ::alignments 0-1.1.1 1-1.1.2 3-1.2.1 4-1.2.2 5-1.3 6-1.4.1 7-1.4.2 8-1.4.3 9-1.4.4 10-1.4.5.1 12-1.4.5.3.2 14-1.4.5.3.2 15-1.4.5.4 17-1.5 18-1.6.1.1 20-1.6.1.2.2 21-1.6.1.2.3 22-1.6.1.2.4 23-1.6.1.2.4 25-1.6.2 26-1.6.3 27-1.6.4.1 28-1.6.4.2 29-1.6.5.1 31-1.6.5.3 32-1.6.5.4 35-1.6.6.1 36-1.6.6.2.1.1.1 37-1.6.6.2.1.1.2 38-1.6.6.2.1.2 41-1.6.6.2.4 42-1.6.6.2.5 44-1.6.6.3.1 46-1.6.6.3.3 47-1.6.6.3.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v8 / label~e.0)
           :P (v9 / label~e.1))
    :H (v3 / label
           :A (v10 / label~e.3)
           :P (v11 / label~e.4))
    :L (v4 / label~e.5)
    :H (v5 / label
           :A (v12 / label~e.6)
           :D (v13 / label~e.7)
           :D (v14 / label~e.8)
           :P (v15 / label~e.9)
           :A (v16 / label
                   :R (v23 / label~e.10)
                   :E (v24 / label
                           :A (v25 / label~e.15)
                           :S (v36 / label~e.12,14))
                   :C v25))
    :L (v6 / label~e.17)
    :H (v7 / label
           :A (v17 / label
                   :C (v26 / label~e.18)
                   :E (v27 / label
                           :A v26
                           :R (v37 / label~e.20)
                           :S (v38 / label~e.21)
                           :D (v39 / label~e.22,23)))
           :D (v18 / label~e.25)
           :P (v19 / label~e.26)
           :A (v20 / label
                   :R (v28 / label~e.27)
                   :C (v29 / label~e.28))
           :D (v21 / label
                   :R (v30 / label~e.29)
                   :E (v31 / label~e.31)
                   :C (v32 / label~e.32))
           :A (v22 / label
                   :L (v33 / label~e.35)
                   :H (v34 / label
                           :A (v40 / label
                                   :E (v46 / label
                                           :C (v48 / label~e.36)
                                           :R (v49 / label~e.37))
                                   :C (v47 / label~e.38))
                           :D (v41 / label~e.41)
                           :P (v42 / label~e.42))
                   :H (v35 / label
                           :A (v43 / label~e.44)
                           :P (v44 / label~e.46)
                           :D (v45 / label~e.47)))))
