# ::id 2987002
# ::tok Commander Farragut felt , and with good reason , that it was best to stay in deep waters and keep his distance from continents or islands , whose neighborhoods the animal always seemed to avoid - " No doubt , " our bosun said , " because there is n't enough water for him ! "
# ::alignments 0-1.1.1.1 1-1.1.1.2 2-1.1.2 4-1.1.3 5-1.1.3 6-1.1.3 7-1.1.3 9-1.1.4.1 12-1.1.4.2.3 14-1.1.4.2.5 15-1.1.4.2.6.1 16-1.1.4.2.6.2 17-1.1.4.2.6.3 18-1.1.4.3 19-1.1.4.4.1 21-1.1.4.4.2.2 22-1.1.4.4.3.1 23-1.1.4.4.3.2.1 24-1.1.4.4.3.2.2 25-1.1.4.4.3.2.3 27-1.1.4.4.3.3.1 28-1.1.4.4.3.3.2 30-1.1.4.4.3.3.3.2 31-1.1.4.4.3.3.4 32-1.1.4.4.3.3.5 34-1.1.4.4.3.3.7 37-1.2.2.1.3 38-1.2.2.1.4 41-1.2.7.1 42-1.2.7.2.1 43-1.2.1 46-1.2.2.2 47-1.2.2.3.1 49-1.2.2.3.3 50-1.2.2.3.4 51-1.2.2.3.5 52-1.2.2.3.6.1 53-1.2.2.3.6.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v4 / label
                  :E (v11 / label~e.0)
                  :C (v12 / label~e.1))
           :P (v5 / label~e.2)
           :G (v6 / label~e.4,5,6,7)
           :A (v7 / label
                  :R (v13 / label~e.9)
                  :H (v14 / label
                          :D (v22 / label~e.12)
                          :S (v23 / label~e.14)
                          :A (v24 / label
                                  :R (v38 / label~e.15)
                                  :E (v39 / label~e.16)
                                  :C (v40 / label~e.17))
                          :A v12)
                  :L (v15 / label~e.18)
                  :H (v16 / label
                          :D (v25 / label~e.19)
                          :P (v26 / label
                                  :C (v41 / label~e.21))
                          :A (v27 / label
                                  :R (v42 / label~e.22)
                                  :C (v43 / label
                                          :C (v47 / label~e.23)
                                          :N (v48 / label~e.24)
                                          :C (v49 / label~e.25))
                                  :E (v44 / label
                                          :R (v50 / label~e.27)
                                          :A (v51 / label~e.28)
                                          :A (v52 / label
                                                  :C (v56 / label~e.30))
                                          :D (v53 / label~e.31)
                                          :G (v54 / label~e.32)
                                          :P (v55 / label~e.34)))
                          :A v12)))
    :H (v3 / label
           :P (v8 / label~e.43)
           :A (v9 / label
                  :H (v17 / label
                          :A (v28 / label)
                          :A (v29 / label)
                          :D (v30 / label~e.37)
                          :P (v31 / label~e.38))
                  :L (v18 / label~e.46)
                  :H (v19 / label
                          :A (v32 / label~e.47)
                          :D (v33 / label~e.49)
                          :S (v34 / label~e.50)
                          :A (v35 / label~e.51)
                          :A (v36 / label
                                  :R (v45 / label~e.52)
                                  :C (v46 / label~e.53))))
           :A (v10 / label
                   :E (v20 / label~e.41)
                   :C (v21 / label
                           :A (v37 / label~e.42)))))
