# ::id 814001
# ::tok Three seconds after reading this letter from the honorable Secretary of the Navy , I understood at last that my true vocation , my sole purpose in life , was to hunt down this disturbing monster and rid the world of it .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3 3-1.2.1 4-1.2.2.1 5-1.2.2.2 6-1.2.2.3.1 7-1.2.2.3.2 8-1.2.2.3.3 9-1.2.2.3.4 10-1.2.2.3.5.1 11-1.2.2.3.5.2 12-1.2.2.3.5.3 14-1.2.4 15-1.3.4 16-1.3.5.1 17-1.3.5.2 19-1.3.2.1.1.1 20-1.3.2.1.1.2 21-1.3.2.1.1.3 23-1.3.2.1.2.1 24-1.3.2.1.2.2 25-1.3.2.1.2.3 26-1.3.2.1.2.4.1 27-1.3.2.1.2.4.2 29-1.3.2.2 31-1.3.2.3.1.1.2 32-1.3.2.3.1.1.2 33-1.3.2.3.1.2.1 34-1.3.2.3.1.2.2 35-1.3.2.3.1.2.3 36-1.3.2.3.2 37-1.3.2.3.3.1 38-1.3.2.3.3.2.1 39-1.3.2.3.3.2.2 40-1.3.2.3.3.3.1 41-1.3.2.3.3.3.2
# ::format ucca
(v1 / label
    :L (v2 / label
           :E (v5 / label~e.0)
           :C (v6 / label~e.1)
           :R (v7 / label~e.2))
    :H (v3 / label
           :P (v8 / label~e.3)
           :A (v9 / label
                  :E (v14 / label~e.4)
                  :C (v15 / label~e.5)
                  :E (v16 / label
                          :R (v22 / label~e.6)
                          :E (v23 / label~e.7)
                          :E (v24 / label~e.8)
                          :C (v25 / label~e.9)
                          :E (v26 / label
                                  :R (v32 / label~e.10)
                                  :E (v33 / label~e.11)
                                  :C (v34 / label~e.12))))
           :A (v10 / label~e.14))
    :H (v4 / label
           :A (v11 / label
                   :A (v17 / label
                           :C (v27 / label
                                   :E (v35 / label~e.19)
                                   :E (v36 / label~e.20)
                                   :C (v37 / label~e.21))
                           :C (v28 / label
                                   :E (v38 / label~e.23)
                                   :E (v39 / label~e.24)
                                   :C (v40 / label~e.25)
                                   :E (v41 / label
                                           :R (v47 / label~e.26)
                                           :C (v48 / label~e.27))))
                   :S (v18 / label~e.29)
                   :A (v19 / label
                           :H (v29 / label
                                   :P (v42 / label
                                           :C (v49 / label~e.31,32))
                                   :A (v43 / label
                                           :E (v50 / label~e.33)
                                           :E (v51 / label~e.34)
                                           :C (v52 / label~e.35))
                                   :A v10)
                           :L (v30 / label~e.36)
                           :H (v31 / label
                                   :P (v44 / label~e.37)
                                   :A (v45 / label
                                           :E (v53 / label~e.38)
                                           :C (v54 / label~e.39))
                                   :A (v46 / label
                                           :R (v55 / label~e.40)
                                           :C (v56 / label~e.41))
                                   :A v10)))
           :A v10
           :P (v12 / label~e.15)
           :D (v13 / label
                   :R (v20 / label~e.16)
                   :C (v21 / label~e.17))))
